,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
14310,,,,What Non-PI Information or Data Do You Access While Executing Your Mission,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,2,,0.44,&&&,0.00%,0.00%,874,874,0,,,,,,680
14311,,,,"If you are collecting data relevant to this
      work, what do you gather and how","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,3,,0.44,&&&,,,,,,,,,,,
14312,Data Access We anticipate this project to generate datasets that may be of interest to the foundation and/or to the field if made publicly available.,,,"Describe any datasets that will be generated as part of
    this project. Specifically address when and how the datasets will be
    made available to the foundation and/or to the public, in what form
    or format, and any anticipated costs to your organization.","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,4,,0.44,&&&,,,,,,,,,,,
14313,,,,"Discuss your organization's approach to data collection and
    data management. Include brief detail on how you use data to inform
    learning and improvement","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,5,,0.44,&&&,,,,,,,,,,,
14314,,,,Provide an Overview of the Data (Content or Data) Currently Collected. How and Where Is the Information Stored,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,6,,0.44,&&&,,,,,,,,,,,
14317,,,,"Do you have written policies, procedures, and practices to ensure a tolerant and civil
workplace and do you regularly monitor them to ensure compliance",Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,8,,0.44,&&&,,,,,,,,,,,
14318,,,,Do You Have industry or Government Data Privacy Regulations,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,9,,0.44,&&&,,,,,,,,,,,
14319,,,,You Have a Formal Data Classification and Retention Policy,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,10,,0.44,&&&,,,,,,,,,,,
14320,,,,Are you planning a formal evaluation,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,11,,0.44,&&&,,,,,,,,,,,
14325,,,,"If your organization is unable to upload a balance sheet and
        income/expense statement, please explain","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,14,,0.44,&&&,,,,,,,,,,,
