,left_context,right_context,value,Area,Theme Converted Areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,,
14308,Evaluation methods for each program objective.,,"What information you will collect to monitor your progress in reaching the objective. From whom you will collect the information and how often. How you will collect it (survey, interview, test, etc.).","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1,,0.44,"If research activities are included in this grant please describe:

* evaluation methods
* targeted groups
* program assessment and how often
* measurement tools (survey, etc.)
* IRB related policies",7.06%,1.47%,2734,2541,193,2122
14309,Program objectives and evaluation (briefly describe):,,"Evaluation methods for each program objective.

What information you will collect to monitor your progress in reaching the objective.

From whom you will collect the information and how often.

How you will collect it (survey, interview, test, etc.).","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1,,0.44,,,,,,,
14315,,,"If the grant will be used to support data collection, do you have policies, procedures,
and practices in place to ensure that the data is securely maintained, and regularly
monitor them to ensure compliance","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,7,,0.44,,,,,,,
14316,,,"If the grant will be used to support research activities, do you have policies, procedures,
and practices to ensure that research activities are conducted in accord with fundamental
ethics of scholarship, knowledge creation and transmission, and regularly monitor them to
ensure compliance","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,7,,0.44,,,,,,,
14321,,,﻿Recent student and staff retention data (disaggregated preferred),"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,12,,0.44,"Provide a table of retention data counts. Include any students, staff, teachers or partipicants.",,,,,,
14322,,,﻿Recent student and staff retention data,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,12,,0.44,,,,,,,
14323,SOCIAL EMOTIONAL LEARNING AND SCHOOL CULTURE AND CLIMATE,,"Do you collect student, teacher, and staff retention data? What
disaggregated retention data, if any, might you be able to share?","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,13,,0.44,,,,,,,
14324,,,"Do you collect student, teacher, and staff retention data? What
disaggregated retention data, if any, might you be able to share","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,13,,0.44,,,,,,,
14332,,,Attach an administrative staff list for your institution,Biographical and Organizational info,Organizational Biographical and General Information,,19,,0.44,"Provide the following data about leaders, staff members, and the community served, if available:
*roles
*qualifications
*salaries
*leadership demographics (role populations by race/ethnicity/gender/immigration status)
*percent of employees involved in decision-making who are current or former sex workers (include paid and voluntary workers)
*staff demographics (role populations by race/ethnicity/gender/immigration status)
*(optional) qualitative staff characteristics (project-related experience, shared background, etc.)
*number of full-time workers employed
*number of part-time workers employed
*percent of employees involved who are current or former sex workers (include paid and voluntary workers)
*community demographics
*how day-to-day tasks are implemented if there are no staff",,,,,,
14333,,,Attach staff list or proof of affiliation,Biographical and Organizational info,Organizational Biographical and General Information,,19,,0.44,,,,,,,
