left_context,question,right_context,identifier
,"Describe the opportunity, challenge, issue or need that your organization is currently facing? Share any supporting data/research/documentation that you think might help us understand what you are working to achieve.",,4933
Expense amount,In-kind expenses,,13806
KEY REQUEST INFORMATION,Please provide a one-paragraph summary of the program or project you are proposing,,723
Letter of Agreement between your fiscal sponsor,"If you have a fiscal sponsor, please upload the organization and fiscal sponsor, if letter of agreement applicable.",,9418
"A list of your corporate and foundation gifts corporate/foundation funders and the for the year (©this can be the calendar year or your fiscal amounts of their gifts year). Indicate if the gifts are received, committed, or pending.",List of committed and pending gifts,,9415
,Top three foundation gifts within past 12 months,"Please use this format: Funder foundations. Do not include gifts from <REDACTED>. Name - $Amount. Example: Collins, Input N/A if not applicable. Foundation - $10,000",2713
"Total dollar value of donations (goods, services, or time) received or anticipated in current fiscal year. This does not include cash donations or dues. For example, equipment or free consultant services are considered in-kind but membership dues are not. Estimates are okay. Input 0 (zero) if not applicable.",In-kind revenue,,9401
STUDENT PROGRESS AND OUTCOMES,Describe how your curricular and pedagogical choices support students to achieve excellence. How do you know?,,3254
SOCIAL EMOTIONAL LEARNING AND SCHOOL CULTURE AND CLIMATE,"Do you collect student, teacher, and staff retention data? What
disaggregated retention data, if any, might you be able to share?",,10475
FINANCIAL DUE DILIGENCE,"Use this space to provide any additional context, narrative, and
explanation about the organization's financial information related to
the questions above.",,10530
,"Please describe the project/program that would be supported by requested funds. Identify specific activities that will take place, who will be involved in the project (staff, key partners), how it will be implemented, and the timeline for completion.","Tip: think ""who, what, when, where, how""",8827
"As the Grant Contact for this request, you will receive communication regarding this request by email",Contact Person's Phone Number and email address,,8783
,"What percentage of the number served will be residents of the following counties? If you don't expect to serve any clients in a county, enter 0%.",,4127
BUDGET INFORMATION,Attach your organization's Year-to-Date Budget to Actual and Prior Year Budget to Actual Revenue and Expenses.,,3399
,"If you were referred by another organization or individual, please list the name of the organization or individual below.",,13179
,"Explain how the project relates to current or previous work of your
organization and, if relevant, how it will benefit your organization",,14564
Other attachments,"If you have not made your most recent audited financial statements   available through GuideStar, please attach them here.",,14584
,"Does this grant request decrease disparities and/or advance equitable outcomes for an historically marginalized or disinvested racial, cultural, or socioeconomic grant(s)?",,2259
Organization Information,Organization Phone Number,,2042
Organization Information,Organization General Email Address,,2044
Organizational Structure and Budget,Number of volunteers,,3803
Organizational Structure and Budget,Number of paid staff,,3802
Organizational Structure and Budget,Number of paid IT staff,,3804
Program details,Describe the measurement tools and methods you will use to measure your outcomes.,,9178
General Operating Support,"What are the specific challenges to your organization's financial
sustainability in the next two years? Please explain if you anticipate changes in the annual operating current fiscal year and the near future?",,13868
General Operating Support,"The current fiscal year operating budget for the organization, including a budget narrative, using the <REDACTED> Organizational Budget Form.",,5033
,"Please tell us how your organization leverages assets to create positive change (e.g. partnerships, your organization's experience and strengths, other resources, etc.). How does this approach improve your service or offering?",,13045
,NAME OF FISCAL SPONSOR and PRIMARY CONTACT PERSON,,13033
,Please tell us about the history of your organisation.,"For example, when it was created, why it came to be, who are its members, how it works to achieve its mission.",14640
ORGANISATIONAL STRUCTURE,"How does your organisation reflect a commitment to sex workers’ involvement in decision making processes and shared leadership? This may include describing how individuals are selected for the decision-making body, length of terms, who supervises the staff members, the role of members, etc.",,5324
Contact Information,E-mail Address,,5303
DEMOGRAPHIC INFORMATION,"Please complete the following information [using raw numbers, not percentages] for Board of Directors/Trustees",,5425
PLEASE INDICATE YOUR ORGANIZATION TYPE,"-   Fiscally sponsored – if chosen, indicate

    -   Fiscal Sponsor Name

    -   Fiscal Sponsor Address (include street address, city, state,
        zip code)",,3581
BOARD OF DIRECTORS / ADVISORY BOARD,"How many of your board members publicly self-identify as (select all that apply for each board member, using numbers to indicate how many board members identify in each category):

-   Transgender (gender assigned at birth was not consistent with my
    gender identity)

-   Cisgender (gender assigned at birth was consistent with my
    gender identity)

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",,12174
BOARD OF DIRECTORS / ADVISORY BOARD,"How many of your board members publicly self-identify as (select all that apply for each board member, using numbers to indicate how many board members identify in each category):

-   Transgender (gender assigned at birth was not consistent with my
    gender identity)

-   Cisgender (gender assigned at birth was consistent with my
    gender identity)

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",,12219
"If applicants are selected to submit a full proposal, these are the additional questions in the full proposal.","Tell us more about how you plan to do this work. Who is working on    this initiative and what are their roles (including internal teammates, external partners, others)?",,12254
,"If you prefer to share qualitative insights into your Board of Directors’ / Advisory Board’s background and personal alignment with the issue areas, please feel free to do so here. For example, are there other forms of identity that are most relevant and important for us to
know? Do any members of your Board of Directors / Advisory Board share the same background, belong to the communities you serve, or have significant experience with the issues you seek to solve?",,12229
,"IF APPLICABLE, PLEASE PROVIDE A BRIEF EXPLANATION FURTHER DESCRIBING HOW YOUR LEADERSHIP TEAM AND STAFF REFLECT THE COMMUNITIES YOU SERVE, AND IN PARTICULAR BRING LIVED EXPERIENCE FROM IMMIGRANT AND REFUGEE COMMUNITIES AND COMMUNITIES OF COLOR.",,3602
,"Please share any qualitative insights into your staff members’    background and personal alignment with the issue areas.  For example, are there forms of identity that are most relevant and important for us to know? Do any members of your staff, in particular program / project team members, share the same background, belong to the communities you serve, or have significant experience with the issues you seek to solve?",,12261
Optional Question,"Is there any other information not captured elsewhere regarding your organization, initiative, community served, or anything else that you believe will help in our evaluation of your request?",,12133
,ARE YOU THE PERSON RESPONSIBLE FOR LEADING OR MANAGING THE EFFORT YOU ARE REQUESTING FUNDING FOR?,,3625
,<REDACTED> RELATIONSHIP: CURRENT GRANTEES OF THE <REDACTED> ARE INELIGIBLE TO APPLY. IS YOUR ORGANIZATION A CURRENT GRANTEE OR INVESTEE PARTNER OF THE <REDACTED>?,,12017
,ARE YOU THE PERSON RESPONSIBLE FOR LEADING OR MANAGING THE EFFORT YOU ARE REQUESTING FUNDING FOR?,,3624
FULL APPLICATION QUESTIONS,Why is your organization in a unique position to offer this solution?,,12242
